location,date,overall_hazard_score,risk_category,weather_risk_share,landslide_risk_share,crowd_risk_share,transport_risk_share
Manali,2021-01-01,20.92412165408624,Low,0.0241013067271719,0.2195996881741717,0.1369159339607428,0.6193830711379134
Manali,2021-01-02,27.153621654086244,Moderate,0.0703934926560884,0.1728522433462395,0.2692228188165768,0.4875314451810952
Manali,2021-01-03,31.703621654086245,Moderate,0.1586848310889492,0.1564352370154996,0.2436528138497448,0.4412271180458064
Manali,2021-01-04,22.516621654086244,Low,0.0676105447437336,0.2098091072798682,0.130811706134615,0.5917686418417832
Manali,2021-01-05,31.336621654086244,Moderate,0.2522492487610864,0.1682611452766458,0.1049073978492368,0.4745822081130309
Manali,2021-01-06,30.47737165408624,Moderate,0.2375398992400813,0.1715710877843304,0.1069710796038146,0.4839179333717737
Manali,2021-01-07,21.064121654086243,Low,0.0280884282425106,0.2187024939802287,0.1363565516500064,0.616852526127254
Manali,2021-01-08,21.30912165408624,Low,0.0349880530344579,0.2171499194524885,0.1353885530463808,0.6124734744666727
Manali,2021-01-09,25.431621654086243,Moderate,0.0319448298352788,0.1800014377308927,0.2803579144754081,0.5076958179584204
Manali,2021-01-10,24.959121654086243,Low,0.0208324322568841,0.1820676913932825,0.2835761697008516,0.5135237066489816
Manali,2021-01-11,20.994121654086243,Low,0.0260989482565323,0.2191501728095593,0.1366356702841988,0.6181152086497095
Manali,2021-01-12,20.94162165408624,Low,0.0246014849993264,0.2194871365401202,0.1368457603087532,0.6190656181518002
Manali,2021-01-13,20.959121654086243,Low,0.0251011508204504,0.2193747002193561,0.1367756585522501,0.6187484904079433
Manali,2021-01-14,20.92412165408624,Low,0.0241013067271719,0.2195996881741717,0.1369159339607428,0.6193830711379134
Manali,2021-01-15,20.985371654086244,Low,0.0258496904278695,0.2192062615632657,0.1366706404800231,0.6182734075288417
Manali,2021-01-16,25.046621654086245,Moderate,0.0229094906084905,0.1816814804612377,0.2829746339974671,0.5124343949328045
Manali,2021-01-17,24.85412165408624,Low,0.0183282759683877,0.1825333174713453,0.2843013969980147,0.5148370095622521
Manali,2021-01-18,25.69112165408624,Moderate,0.1437119239792883,0.1926845437724549,0.1201348894880087,0.5434686427602481
